sku_id,n_flags,label,flag_reasons,accel_13w,max_spike,cv2,yoy_growth,cliff_ratio,train_weeks,last26w_vol
40240876191906,2,non_forecastable,spike_outlier_28.4x | extreme_volatility_cv2=4.33,10.0,28.364,4.334,1.703,0.0,186,281.0
40240870195362,2,non_forecastable,spike_outlier_11.2x | extreme_volatility_cv2=4.72,0.222,11.189,4.721,0.112,7.6,148,517.0
42399121866980,2,non_forecastable,spike_outlier_12.5x | demand_cliff_10153846.2x,0.01,12.463,2.588,0.091,10153846.154,226,99.0
44241555259620,2,non_forecastable,spike_outlier_12.8x | demand_cliff_20000000.0x,0.0,12.848,0.862,1.0,20000000.0,134,504.0
45700219928804,2,non_forecastable,spike_outlier_11.7x | demand_cliff_13115384.6x,0.0,11.677,0.329,1.0,13115384.615,84,229.0
45781044887780,2,non_forecastable,spike_outlier_10.9x | demand_cliff_11269230.8x,0.0,10.879,0.214,1.0,11269230.769,79,228.0
45781047738596,2,non_forecastable,spike_outlier_21.9x | demand_cliff_22846153.8x,0.0,21.863,0.769,1.0,22846153.846,79,91.0
46711684071652,2,non_forecastable,spike_outlier_16.6x | demand_cliff_20583333.3x,0.0,16.583,1.807,1.0,20583333.333,32,2.0
46727738917092,2,non_forecastable,spike_outlier_11.2x | demand_cliff_9000000.0x,0.0,11.212,0.891,1.0,9000000.0,30,144.0
46088162181348,1,review,demand_surge_159.5x,159.5,6.931,0.815,1.111,0.427,65,963.0
45455241314532,1,review,demand_surge_106.5x,106.545,7.542,0.387,1.519,0.141,65,2366.0
45921399701732,1,review,demand_surge_36.7x,36.667,4.0,0.247,1.196,0.0,66,113.0
45921394688228,1,review,demand_surge_27.8x,27.8,3.983,0.341,1.544,0.0,66,144.0
42399345803492,1,review,demand_surge_18.6x,18.636,4.837,0.553,2.01,0.0,225,216.0
44624778526948,1,review,demand_surge_13.1x,13.083,7.659,0.671,2.211,0.729,114,169.0
44568470683876,1,review,demand_surge_11.6x,11.643,8.995,2.077,2.629,0.074,117,708.0
40240881598626,1,review,spike_outlier_21.4x,10.0,21.443,1.093,1.0,0.0,185,57.0
42399092277476,1,review,spike_outlier_10.7x,10.0,10.692,0.755,0.718,0.0,200,89.0
42998021685476,1,review,spike_outlier_14.9x,10.0,14.857,0.728,0.167,0.0,86,4.0
43373587333348,1,review,spike_outlier_11.5x,10.0,11.49,1.193,1.865,0.0,113,679.0
43373588807908,1,review,spike_outlier_11.1x,10.0,11.143,0.525,0.718,0.0,113,56.0
45467237482724,1,review,spike_outlier_13.9x,10.0,13.903,0.74,1.0,0.719,61,371.0
45523395969252,1,review,spike_outlier_14.1x,10.0,14.087,0.317,1.0,0.0,63,566.0
45523901448420,1,review,spike_outlier_10.3x,10.0,10.254,0.291,1.0,0.0,63,284.0
45558286614756,1,review,spike_outlier_11.7x,10.0,11.747,0.442,1.0,0.0,49,74.0
45143238082788,1,review,spike_outlier_10.3x,4.782,10.311,1.206,2.135,0.185,105,1301.0
43896502255844,1,review,yoy_growth_8.3x,2.084,6.785,1.453,8.312,0.332,113,1181.0
45694599495908,1,review,spike_outlier_10.0x,1.28,10.035,0.294,1.0,0.0,81,57.0
46606700773604,1,review,demand_cliff_13030303.0x,1.0,5.912,0.259,1.0,13030303.03,41,0.0
47096911855844,1,review,spike_outlier_20.0x,1.0,20.0,0.0,1.0,0.0,25,5.0
42399362646244,1,review,yoy_growth_8.5x,0.864,2.273,0.463,8.5,0.0,197,110.0
43896507564260,1,review,yoy_growth_5.2x,0.751,2.894,1.046,5.158,0.596,109,1215.0
43868186280164,1,review,yoy_growth_6.6x,0.447,6.533,0.879,6.643,0.0,155,301.0
46718097883364,1,review,demand_cliff_149206896.6x,0.14,3.566,0.585,1.0,149206896.552,37,3186.0
44172939919588,1,review,demand_cliff_170576923.1x,0.019,8.759,1.199,0.026,170576923.077,139,53.0
34778269352098,1,review,demand_cliff_146500000.0x,0.0,6.718,2.275,0.0,146500000.0,282,2058.0
34779058307234,1,review,demand_cliff_20538461.5x,0.0,6.998,0.77,0.0,20538461.538,281,1.0
42399199887588,1,review,demand_cliff_9346153.8x,0.0,8.062,0.687,1.0,9346153.846,226,15.0
44163898835172,1,review,demand_cliff_34500000.0x,0.0,9.079,0.521,1.0,34500000.0,140,638.0
44177994842340,1,review,demand_cliff_86038461.5x,0.0,6.896,0.602,1.0,86038461.538,139,63.0
45455298527460,1,review,demand_cliff_66500000.0x,0.0,4.612,0.651,0.0,66500000.0,93,605.0
45660021129444,1,review,demand_cliff_34461538.5x,0.0,7.134,0.913,0.0,34461538.462,87,1225.0
45931433853156,1,review,demand_cliff_13269230.8x,0.0,8.767,0.327,0.0,13269230.769,66,88.0
46385305714916,1,review,demand_cliff_49842105.3x,0.0,5.78,0.42,1.0,49842105.263,46,189.0
46385384292580,1,review,demand_cliff_51578947.4x,0.0,4.741,0.445,1.0,51578947.368,46,1102.0
46385451303140,1,review,demand_cliff_52342105.3x,0.0,5.712,0.443,1.0,52342105.263,46,1184.0
46465507131620,1,review,demand_cliff_82916666.7x,0.0,4.647,0.543,1.0,82916666.667,32,802.0
46741965537508,1,review,demand_cliff_30954545.5x,0.0,7.269,0.255,1.0,30954545.455,30,361.0
