fold,in_selection,origin,model,segment,wape,overall_wape
1,False,2024-05-19,seasonal_naive,erratic,0.6186,0.8677
1,False,2024-05-19,seasonal_naive,lumpy,1.2682,0.8677
1,False,2024-05-19,seasonal_naive,intermittent,1.024,0.8677
1,False,2024-05-19,trend_seasonal,erratic,0.6372,0.8166
1,False,2024-05-19,trend_seasonal,lumpy,1.092,0.8166
1,False,2024-05-19,trend_seasonal,intermittent,1.0499,0.8166
1,False,2024-05-19,recent_level,erratic,0.8624,0.9945
1,False,2024-05-19,recent_level,lumpy,1.2264,0.9945
1,False,2024-05-19,recent_level,intermittent,0.9158,0.9945
1,False,2024-05-19,zero_forecast,erratic,1.0,1.0
1,False,2024-05-19,zero_forecast,lumpy,1.0,1.0
1,False,2024-05-19,zero_forecast,intermittent,1.0,1.0
1,False,2024-05-19,auto_ets,erratic,0.8332,0.9971
1,False,2024-05-19,auto_ets,lumpy,1.2905,0.9971
1,False,2024-05-19,auto_ets,intermittent,0.668,0.9971
1,False,2024-05-19,theta,erratic,0.625,0.7014
1,False,2024-05-19,theta,lumpy,0.8255,0.7014
1,False,2024-05-19,theta,intermittent,0.6714,0.7014
1,False,2024-05-19,croston_sba,erratic,0.8162,1.0235
1,False,2024-05-19,croston_sba,lumpy,1.3891,1.0235
1,False,2024-05-19,croston_sba,intermittent,0.6934,1.0235
1,False,2024-05-19,tsb,erratic,0.8123,0.9644
1,False,2024-05-19,tsb,lumpy,1.227,0.9644
1,False,2024-05-19,tsb,intermittent,0.7393,0.9644
1,False,2024-05-19,compound_bernoulli,erratic,0.8229,0.8953
1,False,2024-05-19,compound_bernoulli,lumpy,1.0118,0.8953
1,False,2024-05-19,compound_bernoulli,intermittent,0.7117,0.8953
1,False,2024-05-19,cluster_lgbm,erratic,0.6959,0.819
1,False,2024-05-19,cluster_lgbm,lumpy,1.0273,0.819
1,False,2024-05-19,cluster_lgbm,intermittent,0.6648,0.819
1,False,2024-05-19,chronos_tiny,erratic,0.8192,0.8574
1,False,2024-05-19,chronos_tiny,lumpy,0.9196,0.8574
1,False,2024-05-19,chronos_tiny,intermittent,0.6348,0.8574
1,False,2024-05-19,hurdle,erratic,0.8252,0.8763
1,False,2024-05-19,hurdle,lumpy,0.9453,0.8763
1,False,2024-05-19,hurdle,intermittent,0.9707,0.8763
1,False,2024-05-19,tweedie_glm,erratic,0.5616,0.5964
1,False,2024-05-19,tweedie_glm,lumpy,0.6324,0.5964
1,False,2024-05-19,tweedie_glm,intermittent,0.7064,0.5964
1,False,2024-05-19,hierarchy_borrow,erratic,0.6186,0.8677
1,False,2024-05-19,hierarchy_borrow,lumpy,1.2682,0.8677
1,False,2024-05-19,hierarchy_borrow,intermittent,1.024,0.8677
2,True,2024-11-17,seasonal_naive,erratic,0.7341,0.7647
2,True,2024-11-17,seasonal_naive,lumpy,0.7867,0.7647
2,True,2024-11-17,seasonal_naive,intermittent,0.9767,0.7647
2,True,2024-11-17,trend_seasonal,erratic,0.7524,0.7805
2,True,2024-11-17,trend_seasonal,lumpy,0.8079,0.7805
2,True,2024-11-17,trend_seasonal,intermittent,1.0396,0.7805
2,True,2024-11-17,recent_level,erratic,1.0225,1.4911
2,True,2024-11-17,recent_level,lumpy,2.0863,1.4911
2,True,2024-11-17,recent_level,intermittent,4.7808,1.4911
2,True,2024-11-17,zero_forecast,erratic,1.0,1.0
2,True,2024-11-17,zero_forecast,lumpy,1.0,1.0
2,True,2024-11-17,zero_forecast,intermittent,1.0,1.0
2,True,2024-11-17,auto_ets,erratic,1.1034,1.9433
2,True,2024-11-17,auto_ets,lumpy,3.1889,1.9433
2,True,2024-11-17,auto_ets,intermittent,4.5616,1.9433
2,True,2024-11-17,theta,erratic,0.7851,1.226
2,True,2024-11-17,theta,lumpy,1.7734,1.226
2,True,2024-11-17,theta,intermittent,4.5839,1.226
2,True,2024-11-17,croston_sba,erratic,0.777,1.0417
2,True,2024-11-17,croston_sba,lumpy,1.3886,1.0417
2,True,2024-11-17,croston_sba,intermittent,2.5784,1.0417
2,True,2024-11-17,tsb,erratic,0.8012,1.1822
2,True,2024-11-17,tsb,lumpy,1.6833,1.1822
2,True,2024-11-17,tsb,intermittent,3.4998,1.1822
2,True,2024-11-17,compound_bernoulli,erratic,0.716,0.8261
2,True,2024-11-17,compound_bernoulli,lumpy,0.9883,0.8261
2,True,2024-11-17,compound_bernoulli,intermittent,0.9674,0.8261
2,True,2024-11-17,cluster_lgbm,erratic,0.662,0.8372
2,True,2024-11-17,cluster_lgbm,lumpy,1.0767,0.8372
2,True,2024-11-17,cluster_lgbm,intermittent,1.7217,0.8372
2,True,2024-11-17,chronos_tiny,erratic,0.7209,1.0854
2,True,2024-11-17,chronos_tiny,lumpy,1.4923,1.0854
2,True,2024-11-17,chronos_tiny,intermittent,4.7265,1.0854
2,True,2024-11-17,hurdle,erratic,0.7231,0.7773
2,True,2024-11-17,hurdle,lumpy,0.8541,0.7773
2,True,2024-11-17,hurdle,intermittent,0.7715,0.7773
2,True,2024-11-17,tweedie_glm,erratic,0.7198,0.7634
2,True,2024-11-17,tweedie_glm,lumpy,0.811,0.7634
2,True,2024-11-17,tweedie_glm,intermittent,0.9168,0.7634
2,True,2024-11-17,hierarchy_borrow,erratic,0.7341,0.7647
2,True,2024-11-17,hierarchy_borrow,lumpy,0.7867,0.7647
2,True,2024-11-17,hierarchy_borrow,intermittent,0.9767,0.7647
3,True,2025-05-18,seasonal_naive,erratic,0.7832,0.7002
3,True,2025-05-18,seasonal_naive,lumpy,0.5936,0.7002
3,True,2025-05-18,seasonal_naive,intermittent,0.6089,0.7002
3,True,2025-05-18,trend_seasonal,erratic,1.0008,0.9587
3,True,2025-05-18,trend_seasonal,lumpy,0.91,0.9587
3,True,2025-05-18,trend_seasonal,intermittent,0.8792,0.9587
3,True,2025-05-18,recent_level,erratic,0.8693,0.9845
3,True,2025-05-18,recent_level,lumpy,1.1101,0.9845
3,True,2025-05-18,recent_level,intermittent,1.2887,0.9845
3,True,2025-05-18,zero_forecast,erratic,1.0,1.0
3,True,2025-05-18,zero_forecast,lumpy,1.0,1.0
3,True,2025-05-18,zero_forecast,intermittent,1.0,1.0
3,True,2025-05-18,auto_ets,erratic,0.7934,0.9459
3,True,2025-05-18,auto_ets,lumpy,1.0811,0.9459
3,True,2025-05-18,auto_ets,intermittent,1.5822,0.9459
3,True,2025-05-18,theta,erratic,0.6651,0.8156
3,True,2025-05-18,theta,lumpy,0.93,0.8156
3,True,2025-05-18,theta,intermittent,1.5838,0.8156
3,True,2025-05-18,croston_sba,erratic,0.7791,0.8976
3,True,2025-05-18,croston_sba,lumpy,1.0293,0.8976
3,True,2025-05-18,croston_sba,intermittent,1.1892,0.8976
3,True,2025-05-18,tsb,erratic,0.7811,0.8895
3,True,2025-05-18,tsb,lumpy,1.0149,0.8895
3,True,2025-05-18,tsb,intermittent,1.1184,0.8895
3,True,2025-05-18,compound_bernoulli,erratic,0.8248,0.8961
3,True,2025-05-18,compound_bernoulli,lumpy,0.9794,0.8961
3,True,2025-05-18,compound_bernoulli,intermittent,1.0431,0.8961
3,True,2025-05-18,cluster_lgbm,erratic,0.6953,0.7531
3,True,2025-05-18,cluster_lgbm,lumpy,0.8148,0.7531
3,True,2025-05-18,cluster_lgbm,intermittent,0.9124,0.7531
3,True,2025-05-18,chronos_tiny,erratic,0.7556,0.835
3,True,2025-05-18,chronos_tiny,lumpy,0.9434,0.835
3,True,2025-05-18,chronos_tiny,intermittent,0.8724,0.835
3,True,2025-05-18,hurdle,erratic,0.8317,0.8118
3,True,2025-05-18,hurdle,lumpy,0.8032,0.8118
3,True,2025-05-18,hurdle,intermittent,0.6708,0.8118
3,True,2025-05-18,tweedie_glm,erratic,0.7833,0.7387
3,True,2025-05-18,tweedie_glm,lumpy,0.6812,0.7387
3,True,2025-05-18,tweedie_glm,intermittent,0.6947,0.7387
3,True,2025-05-18,hierarchy_borrow,erratic,0.7832,0.7002
3,True,2025-05-18,hierarchy_borrow,lumpy,0.5936,0.7002
3,True,2025-05-18,hierarchy_borrow,intermittent,0.6089,0.7002
4,True,2025-11-16,seasonal_naive,erratic,0.6724,0.7031
4,True,2025-11-16,seasonal_naive,lumpy,0.7662,0.7031
4,True,2025-11-16,seasonal_naive,intermittent,0.6718,0.7031
4,True,2025-11-16,trend_seasonal,erratic,0.5884,0.7615
4,True,2025-11-16,trend_seasonal,lumpy,1.1423,0.7615
4,True,2025-11-16,trend_seasonal,intermittent,0.9145,0.7615
4,True,2025-11-16,recent_level,erratic,1.0319,1.5866
4,True,2025-11-16,recent_level,lumpy,2.8344,1.5866
4,True,2025-11-16,recent_level,intermittent,2.0546,1.5866
4,True,2025-11-16,zero_forecast,erratic,1.0,1.0
4,True,2025-11-16,zero_forecast,lumpy,1.0,1.0
4,True,2025-11-16,zero_forecast,intermittent,1.0,1.0
4,True,2025-11-16,auto_ets,erratic,1.2536,2.1491
4,True,2025-11-16,auto_ets,lumpy,4.1962,2.1491
4,True,2025-11-16,auto_ets,intermittent,3.9794,2.1491
4,True,2025-11-16,theta,erratic,1.0127,1.6301
4,True,2025-11-16,theta,lumpy,2.8902,1.6301
4,True,2025-11-16,theta,intermittent,3.9801,1.6301
4,True,2025-11-16,croston_sba,erratic,0.7537,1.1321
4,True,2025-11-16,croston_sba,lumpy,1.9974,1.1321
4,True,2025-11-16,croston_sba,intermittent,1.4439,1.1321
4,True,2025-11-16,tsb,erratic,0.8013,1.2422
4,True,2025-11-16,tsb,lumpy,2.2487,1.2422
4,True,2025-11-16,tsb,intermittent,1.7943,1.2422
4,True,2025-11-16,compound_bernoulli,erratic,0.7973,0.8793
4,True,2025-11-16,compound_bernoulli,lumpy,1.0339,0.8793
4,True,2025-11-16,compound_bernoulli,intermittent,0.9121,0.8793
4,True,2025-11-16,cluster_lgbm,erratic,0.6274,0.8604
4,True,2025-11-16,cluster_lgbm,lumpy,1.4092,0.8604
4,True,2025-11-16,cluster_lgbm,intermittent,0.9854,0.8604
4,True,2025-11-16,chronos_tiny,erratic,0.9431,1.5933
4,True,2025-11-16,chronos_tiny,lumpy,3.3245,1.5933
4,True,2025-11-16,chronos_tiny,intermittent,2.1556,1.5933
4,True,2025-11-16,hurdle,erratic,0.801,0.8617
4,True,2025-11-16,hurdle,lumpy,0.9644,0.8617
4,True,2025-11-16,hurdle,intermittent,0.8494,0.8617
4,True,2025-11-16,tweedie_glm,erratic,0.8078,0.8032
4,True,2025-11-16,tweedie_glm,lumpy,0.8132,0.8032
4,True,2025-11-16,tweedie_glm,intermittent,0.5066,0.8032
4,True,2025-11-16,hierarchy_borrow,erratic,0.6724,0.7031
4,True,2025-11-16,hierarchy_borrow,lumpy,0.7662,0.7031
4,True,2025-11-16,hierarchy_borrow,intermittent,0.6718,0.7031
